PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
30,http://www.utahwatergardens.com/,,text/plain,false,308,0,"https://www.utahwatergardens.com/
https://utahwatergardens.com/","307
200",false,0,0,
21,http://utahwatergardens.com/,,text/plain,false,308,0,https://utahwatergardens.com/,200,false,0,0,
