PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of inlinks dofollow,No. of inlinks nofollow,No. of href inlinks
20,https://utahwatergardens.com/water-treatments/north-ogden,"Pond Services in North Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/north-ogden,"Pond Services in North Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/kaysville,"Pond Services in Kaysville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/american-fork,"Pond Services in American Fork, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/ogden,"Pond Services in Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/west-jordan,"Pond Services in West Jordan, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/blog/pond-filtration-systems-complete-guide,,text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/water-treatments/syracuse,"Pond Services in Syracuse, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/american-fork,"Pond Services in American Fork, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/farr-west,"Pond Services in Farr West, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/lehi,"Pond Services in Lehi, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-cleaning/centerville,"Pond Services in Centerville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/sandy,"Pond Services in Sandy, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-services/layton,"Pond Services in Layton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-maintenance/syracuse,"Pond Services in Syracuse, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/ogden,"Pond Services in Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/riverdale,"Pond Services in Riverdale, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-services/washington-terrace,"Pond Services in Washington Terrace, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-services/roy,"Pond Services in Roy, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-services/alpine,"Pond Services in Alpine, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/water-treatments/clearfield,"Pond Services in Clearfield, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/west-valley-city,"Pond Services in West Valley City, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/holladay,"Pond Services in Holladay, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/layton,"Pond Services in Layton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/layton,"Pond Services in Layton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/roy,"Pond Services in Roy, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/draper,"Pond Services in Draper, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/bountiful,"Pond Services in Bountiful, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/clearfield,"Pond Services in Clearfield, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/murray,"Pond Services in Murray, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/west-jordan,"Pond Services in West Jordan, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/water-treatments/riverdale,"Pond Services in Riverdale, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/orem,"Pond Services in Orem, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/clearfield,"Pond Services in Clearfield, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-cleaning/springville,"Pond Services in Springville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/washington-terrace,"Pond Services in Washington Terrace, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/clinton,"Pond Services in Clinton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/provo,"Pond Services in Provo, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/riverdale,"Pond Services in Riverdale, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/bountiful,"Pond Services in Bountiful, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/farmington,"Pond Services in Farmington, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-maintenance/roy,"Pond Services in Roy, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/salt-lake-city,"Pond Services in Salt Lake City, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/west-valley-city,"Pond Services in West Valley City, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/draper,"Pond Services in Draper, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/pleasant-grove,"Pond Services in Pleasant Grove, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
