PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,SERP title,Is page title used in SERP,Top keyword,Top keyword country,Top keyword position
91,https://utahwatergardens.com/,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,60,"Utah Water Gardens | Custom Ponds, Waterfalls & Aquatics",false,koi store near me,US,4
21,https://utahwatergardens.com/pond-maintenance-salt-lake-city,"Pond Services in Pond Maintenance Salt Lake City, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,"Pond Services in Pond Maintenance Salt Lake City, Utah",false,commercial pond maintenance,US,35
20,https://utahwatergardens.com/pond-construction-north-salt-lake,"Pond Services in Pond Construction North Salt Lake, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,"Pond Services in Pond Construction North Salt Lake, Utah",false,pond contractor services,US,59
