PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
20,https://utahwatergardens.com/service-areas/bluffdale,"Pond Services in Bluffdale, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1606,<truncated>,11409,16630930841547288467,0,true
20,https://utahwatergardens.com/service-areas/american-fork,"Pond Services in American Fork, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1646,<truncated>,11650,2423382248778817288,0,true
20,https://utahwatergardens.com/service-areas/mapleton,"Pond Services in Mapleton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1612,<truncated>,11469,386730460761538787,0,true
20,https://utahwatergardens.com/service-areas/cedar-city,"Pond Services in Cedar City, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1668,<truncated>,11631,2970252386743156721,0,true
20,https://utahwatergardens.com/service-areas/salt-lake-city,"Pond Services in Salt Lake City, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1727,<truncated>,11867,1385135672495065945,0,true
20,https://utahwatergardens.com/blog/undefined,,text/html; charset=utf-8,true,200,,276,<truncated>,1843,4388521498173125409,0,true
20,https://utahwatergardens.com/service-areas/stockton,"Pond Services in Stockton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1591,<truncated>,11300,2414565811802513429,0,true
20,https://utahwatergardens.com/service-areas/alpine,"Pond Services in Alpine, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1592,<truncated>,11216,1236616454865934324,0,true
20,https://utahwatergardens.com/service-areas/clinton,"Pond Services in Clinton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1592,<truncated>,11287,16619733090997488665,0,true
20,https://utahwatergardens.com/service-areas/kaysville,"Pond Services in Kaysville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1612,<truncated>,11527,17756038741284679699,0,true
20,https://utahwatergardens.com/service-areas/francis,"Pond Services in Francis, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1609,<truncated>,11454,3592165184084973636,0,true
20,https://utahwatergardens.com/blog/aquatic-plant-harvesting-management-guide,,text/html; charset=utf-8,true,200,,276,<truncated>,1843,4388521498173125409,0,true
20,https://utahwatergardens.com/service-areas/draper,"Pond Services in Draper, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1588,<truncated>,11216,17836042395755514240,0,true
