Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,No. of dofollow inlinks to target,No. of nofollow inlinks to target,Is source canonical,Is source noindex,Is target canonical,Is target noindex,Is link internal
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/west-valley-city,200,West Valley City,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/farr-west,200,Farr West,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/north-ogden,200,North Ogden,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/provo,200,Provo,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/north-ogden,200,North Ogden,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/draper,200,Draper,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/murray,200,Murray,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/sandy,200,Sandy,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/orem,200,Orem,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/alpine,200,Alpine,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/spanish-fork,200,Spanish Fork,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/ogden,200,Ogden,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/kaysville,200,Kaysville,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/holladay,200,Holladay,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/lehi,200,Lehi,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/springville,200,Springville,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/blog,200,https://utahwatergardens.com/blog/aquatic-plant-harvesting-management-guide,200,Aquatic Plant Harvesting and Management: Keep Your Pond Balanced,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/american-fork,200,American Fork,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/provo,200,Provo,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/holladay,200,Holladay,1,0,true,false,true,false,true
