PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is in sitemap,Canonical URL,Canonical URL code,Referenced in sitemaps,No. of all inlinks
19,https://utahwatergardens.com/aquatic-plants,Plants & Fish - Aquatic Plants and Pond Fish | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,true,https://utahwatergardens.com/plants-fish,200,https://utahwatergardens.com/sitemap.xml,4428
0,https://utahwatergardens.com/pond-maintenance,Pond Services - Professional Pond Care & Maintenance | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,true,https://utahwatergardens.com/pond-services,200,https://utahwatergardens.com/sitemap.xml,3
0,https://utahwatergardens.com/pond-cleaning,Pond Services - Professional Pond Care & Maintenance | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,true,https://utahwatergardens.com/pond-services,200,https://utahwatergardens.com/sitemap.xml,0
