PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of canonical inlinks,No. of href inlinks,Canonical URL,Canonical URL code
20,https://utahwatergardens.com/blog/undefined,,text/html; charset=utf-8,true,200,0,2,38,0,,
20,https://utahwatergardens.com/pond-services/truxor,"Pond Services in Truxor, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,https://utahwatergardens.com/pond-services/truxor,200
20,https://utahwatergardens.com/pond-supplies/tools-accessories,"Pond Services in Tools Accessories, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,https://utahwatergardens.com/pond-supplies/tools-accessories,200
20,https://utahwatergardens.com/plant-detail,"Pond Services in Plant Detail, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,22,0,https://utahwatergardens.com/plant-detail,200
20,https://utahwatergardens.com/pond-services/water-quality-testing,"Pond Services in Water Quality Testing, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,https://utahwatergardens.com/pond-services/water-quality-testing,200
