PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,H1,H1 length,No. of H1,Is indexable page
39,https://utahwatergardens.com/contact,,text/html; charset=utf-8,true,200,0,0,,,0,true
20,https://utahwatergardens.com/team/plant-experts,,text/html; charset=utf-8,true,200,0,0,,,0,true
