lead_source,total_leads,avg_score,max_score,min_score,high_priority,medium_priority,low_priority
local_directory,20,45.0,50,35,0,0,15
social_media,2,90.0,100,80,2,2,2
real_estate,1,45.0,45,45,0,0,1
